Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
1,03/22/2024 01:02:12.920,+5.43274096E+01,+5.43913166E+01,+5.44440436E+01,+5.44683944E+01,+5.40824069E+01
2,03/22/2024 01:02:22.921,+5.43484676E+01,+5.44162800E+01,+5.44980225E+01,+5.45226718E+01,+5.41760285E+01
3,03/22/2024 01:02:32.921,+5.47157674E+01,+5.47216433E+01,+5.49308191E+01,+5.49483091E+01,+5.48199061E+01
4,03/22/2024 01:02:42.944,+5.50618366E+01,+5.50329116E+01,+5.53367330E+01,+5.53807232E+01,+5.52607022E+01
5,03/22/2024 01:02:52.929,+5.53060274E+01,+5.52424635E+01,+5.55854501E+01,+5.56058426E+01,+5.55598314E+01
6,03/22/2024 01:03:02.925,+5.54909901E+01,+5.54215917E+01,+5.57768338E+01,+5.57660615E+01,+5.57650343E+01
7,03/22/2024 01:03:12.921,+5.56584282E+01,+5.55617021E+01,+5.59216835E+01,+5.59454656E+01,+5.59532770E+01
8,03/22/2024 01:03:22.936,+5.57888704E+01,+5.56974385E+01,+5.60653578E+01,+5.60973674E+01,+5.61480342E+01
9,03/22/2024 01:03:32.946,+5.59515115E+01,+5.58466922E+01,+5.62385690E+01,+5.62709486E+01,+5.63109866E+01
10,03/22/2024 01:03:42.921,+5.60865434E+01,+5.60082395E+01,+5.64008012E+01,+5.64173494E+01,+5.65177391E+01
11,03/22/2024 01:03:52.921,+5.62236483E+01,+5.61635241E+01,+5.65534878E+01,+5.65545446E+01,+5.67563382E+01
12,03/22/2024 01:04:02.921,+5.63640440E+01,+5.62926123E+01,+5.67092681E+01,+5.67247673E+01,+5.69000800E+01
13,03/22/2024 01:04:12.945,+5.65265288E+01,+5.64434365E+01,+5.68697464E+01,+5.68763483E+01,+5.71054842E+01
14,03/22/2024 01:04:22.921,+5.66551421E+01,+5.65479448E+01,+5.69820512E+01,+5.70209106E+01,+5.72569747E+01
15,03/22/2024 01:04:32.921,+5.67626817E+01,+5.66600321E+01,+5.71354171E+01,+5.71554668E+01,+5.74035019E+01
16,03/22/2024 01:04:42.921,+5.69077372E+01,+5.67788476E+01,+5.72173658E+01,+5.72153019E+01,+5.76111853E+01
17,03/22/2024 01:04:52.941,+5.70550481E+01,+5.69161300E+01,+5.73850366E+01,+5.74028728E+01,+5.77805607E+01
18,03/22/2024 01:05:02.921,+5.71364682E+01,+5.69893527E+01,+5.74716153E+01,+5.74965308E+01,+5.79283970E+01
19,03/22/2024 01:05:12.954,+5.72565281E+01,+5.70838192E+01,+5.75869523E+01,+5.75863808E+01,+5.80223778E+01
20,03/22/2024 01:05:22.944,+5.73913877E+01,+5.72098986E+01,+5.77414188E+01,+5.77631958E+01,+5.82052403E+01
21,03/22/2024 01:05:32.962,+5.74664426E+01,+5.73152593E+01,+5.78273379E+01,+5.78484126E+01,+5.83260342E+01
22,03/22/2024 01:05:42.921,+5.75803431E+01,+5.74396386E+01,+5.79637971E+01,+5.79701022E+01,+5.85010135E+01
23,03/22/2024 01:05:52.921,+5.76819175E+01,+5.75214513E+01,+5.80443012E+01,+5.80609638E+01,+5.85553107E+01
24,03/22/2024 01:06:02.937,+5.77950896E+01,+5.76145466E+01,+5.81427310E+01,+5.81546440E+01,+5.87299005E+01
25,03/22/2024 01:06:12.924,+5.78710929E+01,+5.76991779E+01,+5.82296261E+01,+5.82413785E+01,+5.87993488E+01
26,03/22/2024 01:06:22.921,+5.79616993E+01,+5.77677772E+01,+5.82701960E+01,+5.82876270E+01,+5.89578581E+01
