time,msg.id,msg.len,data
1711060858000,4A,8,551D55551C531C55
1711060858001,4B,8,1C1C1C551DFF1CFF
1711060858224,3FF,8,7AB7FC6500000000
1711060858488,4A,8,551D55551C521C55
1711060858498,4B,8,1C1C1C551CFF1CFF
1711060859000,3FF,8,7BB7FC6500000000
1711060859001,4A,8,551C55551C521C55
1711060859012,4B,8,1C1C1C551CFF1CFF
1711060860000,4A,8,551C54551C521C55
1711060860010,4B,8,1C1C1C551CFF1CFF
1711060860261,3FF,8,7CB7FC6500000000
1711060860738,4A,8,551D55551C521C55
1711060860748,4B,8,1C1C1C551DFF1CFF
1711060861000,3FF,8,7DB7FC6500000000
1711060861215,4A,8,551C55551C521C55
1711060861225,4B,8,1C1C1C551CFF1CFF
1711060862000,4A,8,551C54551C521C55
1711060862010,4B,8,1C1C1C551CFF1CFF
1711060862054,3FF,8,7EB7FC6500000000
1711060863000,4A,8,551C54551C521C55
1711060863016,4B,8,1C1C1C551DFF1CFF
1711060863309,3FF,8,7FB7FC6500000000
1711060863737,4A,8,551D54551C531C55
1711060863747,4B,8,1C1C1C551DFF1CFF
1711060864000,3FF,8,80B7FC6500000000
1711060864166,4A,8,551C54551C521C55
1711060864176,4B,8,1C1C1C551DFF1CFF
1711060865000,4A,8,551C54551C521C55
1711060865010,4B,8,1C1C1D551DFF1CFF
1711060865096,3FF,8,81B7FC6500000000
1711060865738,4A,8,551D54551C521C55
1711060865752,4B,8,1C1C1C551DFF1CFF
1711060866000,3FF,8,82B7FC6500000000
1711060866379,4A,8,551D54551C521C55
1711060866390,4B,8,1C1C1C551CFF1CFF
1711060867000,3FF,8,83B7FC6500000000
1711060867117,4A,8,551C54551C521C55
1711060867127,4B,8,1C1C1C551CFF1CFF
1711060868000,4A,8,551D54551C521C55
1711060868010,4B,8,1C1C1C551CFF1CFF
1711060868145,3FF,8,84B7FC6500000000
1711060868738,4A,8,551C54551C521C55
1711060868752,4B,8,1C1C1C551CFF1CFF
1711060869000,3FF,8,85B7FC6500000000
1711060869331,4A,8,551C54551C521C55
1711060869341,4B,8,1C1C1C551CFF1CFF
1711060870000,3FF,8,86B7FC6500000000
1711060870068,4A,8,551C55551C521C55
1711060870079,4B,8,1C1C1C551DFF1CFF
1711060871000,4A,8,551C54551C521C55
1711060871010,4B,8,1C1C1C551CFF1CFF
1711060871194,3FF,8,87B7FC6500000000
1711060871738,4A,8,551C54551C521C55
1711060871750,4B,8,1C1C1C551CFF1CFF
1711060872000,3FF,8,88B7FC6500000000
1711060872282,4A,8,551D54551C521C55
1711060872292,4B,8,1C1C1C551CFF1CFF
1711060873000,3FF,8,89B7FC6500000000
1711060873020,4A,8,551C54551C521C55
1711060873030,4B,8,1C1C1C551CFF1CFF
1711060874000,4A,8,551C54551C521C55
1711060874011,4B,8,1C1C1C551DFF1CFF
1711060874243,3FF,8,8AB7FC6500000000
1711060874738,4A,8,551C54551D521C55
1711060874750,4B,8,1C1C1C551CFF1CFF
1711060875000,3FF,8,8BB7FC6500000000
1711060875233,4A,8,551C54551C521C55
1711060875243,4B,8,1C1C1C551CFF1CFF
1711060876000,4A,8,551D54551C521C55
1711060876010,4B,8,1C1C1C551CFF1CFF
1711060876036,3FF,8,8CB7FC6500000000
1711060877000,4A,8,551C54551C521C55
1711060877010,4B,8,1C1C1C551DFF1CFF
1711060877291,3FF,8,8DB7FC6500000000
1711060877737,4A,8,551C54551D521C55
1711060877748,4B,8,1C1C1C551DFF1CFF
1711060878000,3FF,8,8EB7FC6500000000
