Time,cell37temp,cell38temp,cell39temp,cell40temp,cell41temp,cell42temp,mintemp37to42,maxtemp37to42,cell43temp,cell44temp,cell45temp,cell46temp,cell47temp,cell48temp,mintemp43to48,maxtemp43to48
1711070516581,1.4117039999999998,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.4117039999999998,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070516591,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070517003,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070517013,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070518000,1.4117039999999998,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.4117039999999998,,,,,,,,
1711070518016,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070518737,1.4117039999999998,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.4117039999999998,,,,,,,,
1711070518747,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070519216,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070519226,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070520000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070520010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070521000,1.4117039999999998,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.4117039999999998,,,,,,,,
1711070521014,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070521738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070521748,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070522167,1.4117039999999998,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.4117039999999998,,,,,,,,
1711070522177,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070523000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070523010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070524000,1.4117039999999998,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.4117039999999998,,,,,,,,
1711070524013,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070524738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070524748,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070525118,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070525129,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070526000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070526010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070526738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070527000,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070527726,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070527736,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070528070,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070528080,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070529000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070529011,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070529738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070529749,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070530283,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070530293,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070531021,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070531031,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070532000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
