Sweep #,Time,Chan101,Chan102,Chan103,Chan104,Chan105,Chan106
1,05:22.6,2.05541124,10.5567035,10.3981653,10.4067785,10.432137,9.67712869
2,05:32.6,2.05547656,10.5369492,10.3677886,10.3930253,10.4203831,9.49503137
3,05:42.6,2.05536237,10.5489999,10.3925042,10.4000286,10.4272581,9.61329265
4,05:52.6,2.05546975,10.5474335,10.3740494,10.3932156,10.4084377,9.49180734
5,06:02.6,2.05532478,10.5608102,10.4062432,10.4028903,10.4362109,9.60996703
6,06:12.6,2.05545355,10.5484977,10.3718462,10.3891998,10.4237941,9.50199335
7,06:22.6,2.05530937,10.5574846,10.4047684,10.3973831,10.4341896,9.56854175
8,06:32.6,2.05539776,10.5495786,10.3834991,10.382815,10.4226519,9.53813482
9,06:42.6,2.05531962,10.5632498,10.4122368,10.4150965,10.4414857,9.55258878
10,06:52.6,2.05541408,10.5606782,10.3883699,10.3846078,10.4293029,9.49597446
11,07:02.6,2.05528597,10.5722026,10.3815539,10.3856167,10.4224521,9.49885835
12,07:12.6,2.05543626,10.5440601,10.3624843,10.3828914,10.4113464,9.47951413
13,07:22.6,2.05535181,10.5569586,10.3809838,10.4061901,10.4228037,9.45479744
14,07:32.6,2.05542105,10.5291261,10.382225,10.3966982,10.4144176,9.56853342
15,07:42.6,2.05535945,10.5629918,10.3912777,10.3996338,10.4339559,9.43558778
16,07:52.6,2.05545352,10.5344835,10.3750143,10.3858741,10.4053829,9.53780983
17,08:02.6,2.05537114,10.5576677,10.3868521,10.4023212,10.4317154,9.4422401
18,08:12.6,2.05542667,10.5429581,10.380814,10.3927442,10.4254894,9.59221669
19,08:22.6,2.05535159,10.5660593,10.3976531,10.409902,10.4309529,9.45760409
20,08:32.6,2.05541642,10.5477111,10.3766989,10.3951792,10.422228,9.59699585
21,08:42.6,2.05534024,10.5445356,10.390324,10.3994223,10.4233398,9.41146343
22,08:52.6,2.05544845,10.537879,10.3797005,10.3710475,10.4164376,9.57211501
23,09:02.6,2.05535763,10.5472296,10.3803846,10.3796826,10.416284,9.31690966
24,09:12.6,2.05545189,10.5518002,10.3740113,10.384918,10.4149997,9.62585323
25,09:22.6,2.05534774,10.5555859,10.386487,10.3938453,10.4232334,9.36355887
26,09:32.6,2.05541364,10.5448956,10.3697684,10.3853361,10.4216071,9.63303701
