Time[s],Voltage[V],Current[A],OverVoltage,OverPower,,Current (A),,Power (w),,,,,,,,
0,276.1607819,-0.007064819,FALSE,FALSE,,0.007064819,,1.951026032,,,,,,,,
0.1,283.757843,0.005706787,FALSE,FALSE,,-0.005706787,,-1.619345601,,,,Avg Current,50.68254526,A,,
0.2,288.3805847,0.035415649,FALSE,FALSE,,-0.035415649,,-10.21318569,,,,RMS Current,70.05465631,,,
0.3,300.2729034,-0.279449463,FALSE,FALSE,,0.279449463,,83.91110159,,,,,,,,
0.4,300.252655,-0.192565918,FALSE,FALSE,,0.192565918,,57.81842814,,,,,,,,
0.5,300.2689819,-0.271957397,FALSE,FALSE,,0.271957397,,81.66037086,,,,Avg Power,12749.71507,W,12.74971507,kW
0.6,300.2559662,-0.291107178,FALSE,FALSE,,0.291107178,,87.40666691,,,,RMS Power,17367.4917,,17.3674917,
0.7,300.2635345,-0.352279663,FALSE,FALSE,,0.352279663,,105.7767368,,,,,,,,
0.8,300.2812042,-0.210189819,FALSE,FALSE,,0.210189819,,63.11605207,,,,,,,,
0.9,300.2781219,-0.212417603,FALSE,FALSE,,0.212417603,,63.78435876,,,,,,,,
1,300.2616272,-0.185348511,FALSE,FALSE,,0.185348511,,55.65304543,,,,,,,,
1.1,300.2612457,-0.360717773,FALSE,FALSE,,0.360717773,,108.309568,,,,,,,,
1.2,300.253891,-0.299667358,FALSE,FALSE,,0.299667358,,89.97629036,,,,,,,,
1.3,300.2623596,-0.286071777,FALSE,FALSE,,0.286071777,,85.89658689,,,,,,,,
1.4,300.2723999,-0.288116455,FALSE,FALSE,,0.288116455,,86.51341942,,,,,,,,
1.5,300.2584839,-0.22706604,FALSE,FALSE,,0.22706604,,68.17850492,,,,,,,,
1.6,300.2680206,-0.295211792,FALSE,FALSE,,0.295211792,,88.64266045,,,,,,,,
1.7,300.2625885,-0.127700806,FALSE,FALSE,,0.127700806,,38.34377446,,,,,,,,
1.8,300.2689209,-0.140701294,FALSE,FALSE,,0.140701294,,42.2482257,,,,,,,,
1.9,300.1894684,-0.406356812,FALSE,FALSE,,0.406356812,,121.9840352,,,,,,,,
2,300.1233521,-0.888076782,FALSE,FALSE,,0.888076782,,266.5325808,,,,,,,,
2.1,300.090271,-1.072875977,FALSE,FALSE,,1.072875977,,321.9596426,,,,,,,,
2.2,300.0785522,-0.989212036,FALSE,FALSE,,0.989212036,,296.8413157,,,,,,,,
2.3,300.0405884,-1.253448486,FALSE,FALSE,,1.253448486,,376.0854213,,,,,,,,
2.4,300.0523529,-1.148513794,FALSE,FALSE,,1.148513794,,344.6142662,,,,,,,,
2.5,299.9417267,-1.484176636,FALSE,FALSE,,1.484176636,,445.1665028,,,,,,,,
2.6,299.8169098,-2.036087036,FALSE,FALSE,,2.036087036,,610.4533232,,,,,,,,
2.7,299.8992157,-1.766464233,FALSE,FALSE,,1.766464233,,529.7612382,,,,,,,,
2.8,299.8816681,-1.728668213,FALSE,FALSE,,1.728668213,,518.3959073,,,,,,,,
2.9,299.8396759,-1.967315674,FALSE,FALSE,,1.967315674,,589.879294,,,,,,,,
3,299.6703796,-2.545532227,FALSE,FALSE,,2.545532227,,762.8206087,,,,,,,,
3.1,299.7105255,-2.240753174,FALSE,FALSE,,2.240753174,,671.5773113,,,,,,,,
3.2,299.706665,-2.298278809,FALSE,FALSE,,2.298278809,,688.8094771,,,,,,,,
3.3,299.7592621,-2.214797974,FALSE,FALSE,,2.214797974,,663.9062062,,,,,,,,
3.4,299.7847748,-2.124267578,FALSE,FALSE,,2.124267578,,636.8230775,,,,,,,,
3.5,299.7492218,-1.906845093,FALSE,FALSE,,1.906845093,,571.5753327,,,,,,,,
