Time[s],Voltage[V],Current[A],OverVoltage,OverPower,,Current (A),,Power (w),,,,,,,,
0,245.3918152,0.027557373,FALSE,FALSE,,-0.027557373,,-6.762353794,,,,,,,,
0.1,249.9354248,0.018417358,FALSE,FALSE,,-0.018417358,,-4.603150295,,,,Avg Current,27.6288047,A,,
0.2,261.2358856,0.029678345,FALSE,FALSE,,-0.029678345,,-7.753048668,,,,RMS Current,38.17522608,,,
0.3,261.2397003,0.063064575,FALSE,FALSE,,-0.063064575,,-16.47497072,,,,,,,,
0.4,261.2371216,0.058731079,FALSE,FALSE,,-0.058731079,,-15.34273805,,,,,,,,
0.5,261.2389069,0.072265625,FALSE,FALSE,,-0.072265625,,-18.87859288,,,,Avg Power,6605.126481,W,6.605126481,kW
0.6,261.2451324,0.043563843,FALSE,FALSE,,-0.043563843,,-11.38084188,,,,RMS Power,9049.031225,,9.049031225,
0.7,261.2410431,0.031661987,FALSE,FALSE,,-0.031661987,,-8.27141059,,,,,,,,
0.8,261.2452545,0.036987305,FALSE,FALSE,,-0.036987305,,-9.662757827,,,,,,,,
0.9,261.2474976,0.055923462,FALSE,FALSE,,-0.055923462,,-14.60986448,,,,,,,,
1,261.243454,0.073959351,FALSE,FALSE,,-0.073959351,,-19.3213962,,,,,,,,
1.1,261.2463074,0.044082642,FALSE,FALSE,,-0.044082642,,-11.51642734,,,,,,,,
1.2,261.2476654,0.044372559,FALSE,FALSE,,-0.044372559,,-11.59222734,,,,,,,,
1.3,261.2484436,0.062423706,FALSE,FALSE,,-0.062423706,,-16.30809605,,,,,,,,
1.4,261.2499542,0.019592285,FALSE,FALSE,,-0.019592285,,-5.1184836,,,,,,,,
1.5,261.2404175,0.069396973,FALSE,FALSE,,-0.069396973,,-18.12929411,,,,,,,,
1.6,261.2476654,0.019012451,FALSE,FALSE,,-0.019012451,,-4.966958482,,,,,,,,
1.7,261.2463074,0.067230225,FALSE,FALSE,,-0.067230225,,-17.56364792,,,,,,,,
1.8,261.2435608,0.051116943,FALSE,FALSE,,-0.051116943,,-13.3539723,,,,,,,,
1.9,261.2437286,0.048599243,FALSE,FALSE,,-0.048599243,,-12.69624749,,,,,,,,
2,261.2443542,0.068161011,FALSE,FALSE,,-0.068161011,,-17.80667924,,,,,,,,
2.1,261.2424469,0.045669556,FALSE,FALSE,,-0.045669556,,-11.93082647,,,,,,,,
2.2,261.2486725,0.053863525,FALSE,FALSE,,-0.053863525,,-14.0717745,,,,,,,,
